,District,Place,Male,Female,Total,Within_the_area,Outside_the_area,Outside_the_state,,,,,,,,,,,,,
12,Shimoga CMC,986,142,198,886,2212,,,464,574,634,493,558,7625,,,,,,,
13,Bhadravathi CMC,239,27,127,367,760,,,1261,797,1021,1144,1025,1186,10196,,,,,,
14,Udupi CMC,1668,99,220,126,2113,,,697,664,700,611,831,6754,,,,,,,
15,Chickmagalur CMC,398,100,128,355,981,,,558,1685,1844,1636,2017,16950,,,,,,,
16,Tumkur CMC,722,517,295,458,1992,,,1380,822,748,774,686,754,8755,,,,,,
17,Kolar CMC,891,286,88,676,1941,,,2042,511,535,530,487,5695,,,,,,,
18,Robertsonpet CMC,165,10,66,882,1123,,,2129,1259,1309,1216,1241,14450,,,,,,,
19,Bangalore CC,16559,5356,1536,12420,35871,,,4184,2055,2698,2032,2342,1800,24488,,,,,,
20,Dasarahalli CMC,403,59,164,323,949,,,481,1368,2101,1944,1710,20040,,,,,,,
21,Byatarayanapura CMC,95,26,123,93,337,,,353,4066,4133,4286,3510,44528,,,,,,,
22,Krishnarajapura CMC,174,46,212,194,626,,,905,552,606,624,533,546,6613,,,,,,
23,Mahadevapur CMC,489,0,2,320,811,,,657,342,403,352,352,3893,,,,,,,
24,Bommanahalli CMC,166,45,69,395,675,,,340,948,1027,885,898,10506,,,,,,,
25,Mandya CMC,632,78,152,529,1391,,,1052,712,741,779,686,724,8258,,,,,,
26,Hassan CMC,654,157,134,599,1544,,,573,433,376,395,492,4292,,,,,,,
27,Mangalore CC,3657,459,456,978,5550,,,376,1174,1155,1081,1216,12550,,,,,,,
28,Mysore CC,3798,206,866,2256,7126,,,932,556,539,618,584,598,6391,,,,,,
29,ALL OTHER URBAN AREAS,18423,5272,11342,15690,50727,,,705,338,356,385,410,4418,,,,,,,
URBAN TOTAL,65294,16614,19235,47908,149051,,,,527,877,974,969,1008,10809,,,,,,,
STATE TOTAL,122443,38908,82715,121115,365181,,,,1409,882,770,719,716,826,8824,,,,,,
,80,,,,,,,,142,549,493,439,528,6001,,,,,,,
,"TABLE D-6 2001 : DEATHS BY AGE, SEX AND RELIGION OF THE DECEASED (URBAN & RURAL)",,,,,,,,76,1319,1212,1155,1354,14825,,,,,,,
,,,,,Religion of the Deceased,,,,,142,114,133,119,126,1461,,,,,,
,,,,,,,,,,73,82,45,52,860,,,,,,,
Age,,Hindus,,,Muslims,,,Christians,,,,,,,,,,,,,
Male,,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,Aug,,,,,,,,,,,,
URBAN,,,,,,,,,10,,,,,Total,,,,,,,
BELOW 1 YEAR,2430,1536,3966,358,284,642,50,60,218,Sept,Oct,Nov,Dec,,,,,,,,
01-Apr,857,668,1525,166,124,290,20,12,873,11,12,13,14,15,16,,,,,,
May-14,1157,938,2095,219,180,399,53,6,643,187,215,164,178,2321,,,,,,,
15 - 24,2542,2490,5032,267,368,635,39,52,1502,859,835,1012,914,947,10457,,,,,,
25 - 34,5224,3037,8261,552,437,989,98,54,227,590,666,579,628,6926,,,,,,,
35 - 44,7605,3542,11147,985,505,1490,192,118,269,1425,1678,1493,1575,17383,,,,,,,
45 - 54,10020,4735,14755,1520,760,2280,272,177,650,381,388,392,406,389,4275,,,,,,
55 - 64,11794,6828,18622,1924,1166,3090,345,228,17244,293,313,273,288,2896,,,,,,,
65 - 69,5108,3260,8368,855,550,1405,160,181,13210,681,705,679,677,7171,,,,,,,
70 & Above,17202,14035,31237,2772,2277,5049,683,740,32598,19388,19487,19256,19066,19208,217795,,,,,,
Age Not Stated,9988,9874,19862,1796,1757,3553,207,281,,12710,13611,13248,13259,147386,,,,,,,
TOTAL,73927,50943,124870,11414,8408,19822,2119,1909,,32197,32867,32314,32467,365181,,,,,,,
RURAL,,,,,,,,,,,,,,,,,,,,,
BELOW 1 YEAR,1672,1198,2870,107,84,191,17,8,,,,,,,,,,,,,
01-Apr,1189,1116,2305,72,85,157,9,3,,,,,,,,,,,,,
May-14,1877,1646,3523,156,108,264,13,13,,,,,,,,,,,,,
15 - 24,3462,3109,6571,196,155,351,18,12,,,,,,,,,,,,,
25 - 34,6860,3908,10768,319,216,535,51,14,,,,,,,,,,,,,
35 - 44,10318,4391,14709,523,236,759,73,46,,,,,,,,,,,,,
45 - 54,12988,5704,18692,751,340,1091,105,38,,,,,,,,,,,,,
55 - 64,15727,7556,23283,1043,460,1503,163,60,,,,,,,,,,,,,
65 - 69,7919,4840,12759,528,328,856,95,55,,,,,,,,,,,,,
70 & Above,40393,32858,73251,2132,1824,3956,447,395,,,,,,,,,,,,,
Age Not Stated,19420,14262,33682,1080,662,1742,152,88,,,,,,,,,,,,,
TOTAL,121825,80588,202413,6907,4498,11405,1143,732,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,
,,"TABLE D-6 2001 : DEATHS BY AGE, SEX AND RELIGION OF THE DECEASED (URBAN & RURAL)",,,,,,,,,,,,,,,,,,,
,,,,,Religion of the Deceased,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Age,,Hindus,,,Muslims,,,Christians,,,,,,,,,,,,,
Male,,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,,,,,,,,,,,,,
ALL AREAS,,,,,,,,,,,,,,,,,,,,,
BELOW 1 YEAR,4102,2734,6836,465,368,833,67,68,,,,,,,,,,,,,
01-Apr,2046,1784,3830,238,209,447,29,15,,,,,,,,,,,,,
May-14,3034,2584,5618,375,288,663,66,19,,,,,,,,,,,,,
15 - 24,6004,5599,11603,463,523,986,57,64,,,,,,,,,,,,,
25 - 34,12084,6945,19029,871,653,1524,149,68,,,,,,,,,,,,,
35 - 44,17923,7933,25856,1508,741,2249,265,164,,,,,,,,,,,,,
45 - 54,23008,10439,33447,2271,1100,3371,377,215,,,,,,,,,,,,,
55 - 64,27521,14384,41905,2967,1626,4593,508,288,,,,,,,,,,,,,
65 - 69,13027,8100,21127,1383,878,2261,255,236,,,,,,,,,,,,,
70 & Above,57595,46893,104488,4904,4101,9005,1130,1135,,,,,,,,,,,,,
Age Not Stated,29408,24136,53544,2876,2419,5295,359,369,,,,,,,,,,,,,
TOTAL,195752,131531,327283,18321,12906,31227,3262,2641,,,,,,,,,,,,,
*,Minor religious group may classified in to others,,,,,,,,,,,,,,,,,,,,
,,,,,,,,82,,,,,,,,,,,,,
"TABLE D-7 2001 : DEATHS BY AGE,",,,,OCCUPATION AND SEX,,(RURAL),,,,,,,,,,,,,,,
,,,,,,,70,&,,,,,,,,,,,,,
Occupation of the Deceased,Sex,0-14,15-24,25-34,35-44,45-54,55-64,65-69,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,,,,,,,,,,,,,
Prof. Technical & Related workers,,,,,,,,,,,,,,,,,,,,,
,Male,0,11,12,7,32,24,2,,,,,,,,,,,,,
,Female,0,32,5,10,14,5,0,,,,,,,,,,,,,
,Total,0,43,17,17,46,29,2,,,,,,,,,,,,,
"Administrative, Executive & Managerial Workers",,,,,,,,,,,,,,,,,,,,,
,Male,0,38,105,189,376,255,63,,,,,,,,,,,,,
,Female,0,16,31,34,71,66,20,,,,,,,,,,,,,
,Total,0,54,136,223,447,321,83,Total Male,,,,,,,,Total,,,,
Clerical & Related Workers,Male,0,48,65,132,168,159,51,10,,Others*,,,Not Stated,,,,,,,
,Female,0,19,21,20,36,52,30,,Female,,Total,Male,Female,Total Male,,Female,Total,,,
,Total,0,67,86,152,204,211,81,110,11,12,13,14,15,16,17,18,19,,,
Sales Workers,Male,36,46,152,188,237,264,106,32,,,,,,,,,,,,
,Female,22,17,24,33,51,38,29,59,8,3,11,0,0,0,2846,1883,4729,,,
,Total,58,63,176,221,288,302,135,91,0,0,0,0,0,0,1043,804,1847,,,
Serivce Workers,Male,33,168,313,443,595,649,304,152,5,1,6,0,0,0,1434,1125,2559,,,
,Female,69,566,810,858,1114,1495,924,310,1,9,10,0,0,0,2849,2919,5768,,,
,Total,102,734,1123,1301,1709,2144,1228,449,10,5,15,0,0,0,5884,3533,9417,,,
"Farmers, Fisherman, etc. & related workers",,,,,,,,,573,33,12,45,0,0,0,8815,4177,12992,,,
,Male,273,1858,4580,7201,8866,10596,5238,341,34,16,50,0,0,0,11846,5688,17534,,,
,Female,198,1170,1839,2133,2611,3194,1969,1423,24,25,49,0,0,0,14087,8247,22334,,,
,Total,471,3028,6419,9334,11477,13790,7207,488,15,15,30,0,0,0,6138,4006,10144,,,
Production & other related workers,,,,,,,,,4028,47,35,82,0,0,0,20704,17087,37791,,,
,Male,2,61,243,268,214,191,69,,19,14,33,0,0,0,12010,11926,23936,,,
,Female,2,32,57,61,51,37,9,25,196,135,331,0,0,0,87656,61395,149051,,,
,Total,4,93,300,329,265,228,78,12,,,,,,,,,,,,
"Workers, occupation are not else where classified",,,,,,,,,26,5,1,6,0,0,0,1801,1291,3092,,,
,Male,19,154,384,654,820,989,492,30,3,0,3,0,0,0,1273,1204,2477,,,
,Female,9,32,55,89,108,142,85,65,2,3,5,0,0,0,2048,1770,3818,,,
,Total,28,186,439,743,928,1131,577,119,9,7,16,0,0,0,3685,3283,6968,,,
Non Workers,Male,356,703,577,781,1123,1948,1187,143,11,13,24,0,0,0,7241,4151,11392,,,
,Female,337,848,744,868,1210,1851,1394,223,13,7,20,0,0,0,10927,4680,15607,,,
,Total,693,1551,1321,1649,2333,3799,2581,150,25,11,36,0,0,0,13869,6093,19962,,,
Not Stated,Male,257,598,810,1064,1438,1892,1052,842,34,23,57,0,0,0,16967,8099,25066,,,
,Female,251,551,565,574,827,1219,775,240,22,12,34,0,0,0,8564,5235,13799,,,
,Total,508,1149,1375,1638,2265,3111,1827,1875,108,81,189,0,0,0,43080,35158,78238,,,
TOTAL,Male,976,3685,7241,10927,13869,16967,8564,,32,15,47,0,0,0,20684,15027,35711,,,
,Female,888,3283,4151,4680,6093,8099,5235,,264,173,437,0,0,0 130139,,85991,216130,,,
,Total,1864,6968,11392,15607,19962,25066,13799,,,,,,,,,,,,,
,,,,83,,,,,,,,,,,,,,,,,
"TABLE D-8 2001 : DEATHS BY AGE,",,,,OCCUPATION AND SEX,,,(URBAN),,,,,,,,,,,,,,
,,,,,,,70,&,Total Male,,,,,,,,Total,,,,
Occupation of the Deceased,Sex,Oct-14,15-24,25-34,35-44,45-54,55-64,65-69,10,,Others*,,,Not Stated,,,,,,,
1,2,3,4,5,6,7,8,9,,,Female,Total,Male,Female,Total Male,,Female,Total,,,
Prof. Technical & Related workers,,,,,,,,,135,11,12,13,14,15,16,17,18,19,,,
,Male,0,6,10,42,13,64,52,44,,,,,,,,,,,,
,Female,0,0,1,26,5,3,3,85,13,4,17,0,0,0,4647,3174,7821,,,
,Total,0,6,11,68,18,67,55,121,3,0,3,0,0,0,2316,2008,4324,,,
"Administrative, Executive & Managerial Workers",,,,,,,,,217,7,4,11,0,0,0,3482,2895,6377,,,
,Male,0,68,168,452,779,616,184,429,10,16,26,0,0,0,6534,6202,12736,,,
,Female,0,48,63,101,160,167,55,592,21,18,39,0,0,0,13125,7684,20809,,,
,Total,0,116,231,553,939,783,239,796,46,19,65,0,0,0,19742,8857,28599,,,
Clerical & Related Workers,Male,0,84,187,282,438,332,96,491,59,27,86,0,0,0,25715,11781,37496,,,
,Female,0,17,25,50,87,91,27,2265,58,48,106,0,0,0,31054,16346,47400,,,
,Total,0,101,212,332,525,423,123,728,37,27,64,0,0,0,14702,9241,23943,,,
Sales Workers,Male,31,84,361,509,672,819,346,5903,155,116,271,0,0,0,63784,52245,116029,,,
,Female,9,31,52,86,113,162,35,,51,29,80,0,0,0,32694,26953,59647,,,
,Total,40,115,413,595,785,981,381,,460,308,768,0,0,0 217795,,147386,365181,,,
Serivce Workers,Male,14,165,492,734,1031,977,395,,,,,,,,,,,,,
,Female,18,339,521,607,748,1031,524,,,,,,,,,,,,,
,Total,32,504,1013,1341,1779,2008,919,Above,,,,,,,,,,,,
"Farmers, Fisherman, etc. & related workers",,,,,,,,,10,Age Not,,,,,,,,,,,
,Male,170,940,2399,3681,4683,4809,2078,,Stated,Total,,,,,,,,,,
,Female,98,651,1015,1195,1313,1554,674,0,11,12,,,,,,,,,,
,Total,268,1591,3414,4876,5996,6363,2752,0,,,,,,,,,,,,
Production & other related workers,,,,,,,,,0,0,88,,,,,,,,,,
,Male,8,80,373,493,449,478,137,,0,66,,,,,,,,,,
,Female,1,37,58,84,117,94,32,298,0,154,,,,,,,,,,
,Total,9,117,431,577,566,572,169,215,,,,,,,,,,,,
"Workers, occupation are not elsewhere classified",,,,,,,,,513,233,1557,,,,,,,,,,
,Male,8,23,79,129,164,160,69,229,80,533,,,,,,,,,,
,Female,2,21,27,28,28,53,25,127,313,2090,,,,,,,,,,
,Total,10,44,106,157,192,213,94,356,160,1012,,,,,,,,,,
Non Workers,Male,273,720,732,943,1341,2817,1504,375,85,390,,,,,,,,,,
,Female,184,873,855,1013,1569,2705,1573,131,245,1402,,,,,,,,,,
,Total,457,1593,1587,1956,2910,5522,3077,506,191,1595,,,,,,,,,,
Not Stated,Male,211,679,1083,1550,2276,3015,1277,1396,66,411,,,,,,,,,,
,Female,217,902,916,987,1548,2387,1058,5978,257,2006,,,,,,,,,,
,Total,428,1581,1999,2537,3824,5402,2335,7374,763,4664,,,,,,,,,,
TOTAL,Male,715,2849,5884,8815,11846,14087,6138,,2273,14087,,,,,,,,,,
,Female,529,2919,3533,4177,5688,8247,4006,24946,3036,18751,,,,,,,,,,
,Total,1244,5768,9417,12992,17534,22334,10144,12085,,,,,,,,,,,,
,,,,,84,,,,37031,12135,75693,,,,,,,,,,
"TABLE D-9 2001 : DEATHS BY AGE,",,,,OCCUPATION AND SEX,,(ALL AREAS),,,,6109,31308,,,,,,,,,,
Occupation of the,,,,,,,,,156,18244,107001,,,,,,,,,,
Deceased,Sex,Oct-14,15-24,25-34,35-44,45-54,55-64,65-69,43,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,199,190,1394,,,,,,,,,,
Prof. Technical & Related workers,,,,,,,,,,33,325,,,,,,,,,,
,Male,0,17,22,49,45,88,54,2320,223,1719,,,,,,,,,,
,Female,0,32,6,36,19,8,3,479,,,,,,,,,,,,
,Total,0,49,28,85,64,96,57,2799,977,6809,,,,,,,,,,
"Administrative, Executive & Managerial Workers",,,,,,,,,7837,292,1291,,,,,,,,,,
,Male,0,106,273,641,1155,871,247,10489,1269,8100,,,,,,,,,,
,Female,0,64,94,135,231,233,75,18326,2148,16660,,,,,,,,,,
,Total,0,170,367,776,1386,1104,322,5523,2475,20216,,,,,,,,,,
Clerical & Related Workers,Male,0,132,252,414,606,491,147,5611,4623,36876,,,,,,,,,,
,Female,0,36,46,70,123,143,57,11134,3887,16521,,,,,,,,,,
,Total,0,168,298,484,729,634,204,43080,3614,13987,,,,,,,,,,
Sales Workers,Male,67,130,513,697,909,1083,452,35158,7501,30508,,,,,,,,,,
,Female,31,48,76,119,164,200,64,78238,20684,125993,,,,,,,,,,
,Total,98,178,589,816,1073,1283,516,,15027,82614,,,,,,,,,,
Serivce Workers,Male,47,333,805,1177,1626,1626,699,,35711,208607,,,,,,,,,,
,Female,87,905,1331,1465,1862,2526,1448,,,,,,,,,,,,,
,Total,134,1238,2136,2642,3488,4152,2147,Above,,,,,,,,,,,,
"Farmers, Fisherman, etc. & related workers",,,,,,,,,10,Age Not,,,,,,,,,,,
,Male,443,2798,6979,10882,13549,15405,7316,,Stated,Total,,,,,,,,,,
,Female,296,1821,2854,3328,3924,4748,2643,60,11,12,,,,,,,,,,
,Total,739,4619,9833,14210,17473,20153,9959,18,,,,,,,,,,,,
Production & other related workers,,,,,,,,,78,5,252,,,,,,,,,,
,Male,10,141,616,761,663,669,206,,0,56,,,,,,,,,,
,Female,3,69,115,145,168,131,41,526,5,308,,,,,,,,,,
,Total,13,210,731,906,831,800,247,221,,,,,,,,,,,,
"Workers, occupation are not elsewhere classified",,,,,,,,,747,396,3189,,,,,,,,,,
,Male,27,177,463,783,984,1149,561,309,187,1002,,,,,,,,,,
,Female,11,53,82,117,136,195,110,115,583,4191,,,,,,,,,,
,Total,38,230,545,900,1120,1344,671,424,182,1910,,,,,,,,,,
Non Workers,Male,629,1423,1309,1724,2464,4765,2691,989,89,501,,,,,,,,,,
,Female,521,1721,1599,1881,2779,4556,2967,219,271,2411,,,,,,,,,,
,Total,1150,3144,2908,3605,5243,9321,5658,1208,478,4289,,,,,,,,,,
Not Stated,Male,468,1277,1893,2614,3714,4907,2329,1155,226,933,,,,,,,,,,
,Female,468,1453,1481,1561,2375,3606,1833,2276,704,5222,,,,,,,,,,
,Total,936,2730,3374,4175,6089,8513,4162,3431,706,5669,,,,,,,,,,
TOTAL,Male,1691,6534,13125,19742,25715,31054,14702,,1014,7078,,,,,,,,,,
,Female,1417,6202,7684,8857,11781,16346,9241,6205,1720,12747,,,,,,,,,,
,Total,3108,12736,20809,28599,37496,47400,23943,2446,,,,,,,,,,,,
,,,,85,,,,,8651,4486,29451,,,,,,,,,,
"TABLE D-10 2001 : DEATHS BY CAUSE OF DEATH, AGE AND SEX FOR MEDICALLY CERTIFIED OR NOT",,,,,,,,,,2794,11740,,,,,,,,,,
,,,,,Age of the Deceased,,,,359,7280,41191,,,,,,,,,,
Cause of Death,Sex,,,,,,,,97,,,,,,,,,,,,
,Below,70 &,,,,,,,456,380,2757,,,,,,,,,,
,1,Year,01-Apr,May-14,15-24,25-34,35-44,45-54,,147,667,,,,,,,,,,
2,3,4,5,6,7,8,9,10,261,527,3424,,,,,,,,,,
1 - Cholera,Male,2,2,2,1,4,5,6,105,,,,,,,,,,,,
,Female,0,2,3,2,5,1,0,366,74,967,,,,,,,,,,
,Total,2,4,5,3,9,6,6,6577,46,335,,,,,,,,,,
2 - Typhoid & Paratyphoid,,,,,,,,,6975,120,1302,,,,,,,,,,
,Male,10,6,20,25,75,86,91,13552,1810,16717,,,,,,,,,,
,Female,6,4,15,24,38,29,34,4263,3130,18877,,,,,,,,,,
,Total,16,10,35,49,113,115,125,4615,4940,35594,,,,,,,,,,
3 - Food Poisoning,Male,1,1,7,21,12,25,26,8878,3493,17847,,,,,,,,,,
,Female,2,2,4,11,15,8,3,20704,4293,16923,,,,,,,,,,
,Total,3,3,11,32,27,33,29,17087,7786,34770,,,,,,,,,,
4,#NAME?,,,,,,,,37791,12010,83048,,,,,,,,,,
,Male,127,49,849,24,52,80,94,,11926,58112,,,,,,,,,,
,Female,164,79,672,46,46,32,56,,23936,141160,,,,,,,,,,
,Total,291,128,1521,70,98,112,150,70 &,,,,,,,,,,,,
5 - Tuberculosis,Male,39,91,68,266,888,1394,1337,Above,,,,,,,,,,,,
,Female,34,56,89,271,459,584,479,10,Age Not,,,,,,,,,,,
,Total,73,147,157,537,1347,1978,1816,,Stated,Total,,,,,,,,,,
6 - Leprosy,Male,0,0,2,5,6,9,21,60,11,12,,,,,,,,,,
,Female,0,0,0,0,7,1,7,18,,,,,,,,,,,,
,Total,0,0,2,5,13,10,28,78,5,340,,,,,,,,,,
7 - Diphtheria,Male,16,7,0,0,0,0,0,,0,122,,,,,,,,,,
,Female,3,5,0,0,0,0,0,824,5,462,,,,,,,,,,
,Total,19,12,0,0,0,0,0,436,,,,,,,,,,,,
8 - Whooping Cough,Male,3,2,0,0,0,0,0,1260,629,4746,,,,,,,,,,
,Female,5,2,0,0,0,0,0,538,267,1535,,,,,,,,,,
,Total,8,4,0,0,0,0,0,242,896,6281,,,,,,,,,,
9 - Tetanus,Male,7,15,22,7,21,19,28,780,342,2922,,,,,,,,,,
,Female,21,15,14,15,10,13,8,1364,174,891,,,,,,,,,,
,Total,28,30,36,22,31,32,36,350,516,3813,,,,,,,,,,
10 - Acute Polimyelitis,Male,0,0,0,0,0,0,0,1714,669,5884,,,,,,,,,,
,Female,0,0,2,0,0,0,0,2551,292,1344,,,,,,,,,,
,Total,0,0,2,0,0,0,0,8254,961,7228,,,,,,,,,,
11 - Measles,Male,1,7,5,0,0,0,0,10805,1469,10333,,,,,,,,,,
,Female,8,11,2,0,0,0,0,,3287,21165,,,,,,,,,,
,Total,9,18,7,0,0,0,0,31151,4756,31498,,,,,,,,,,
12 - Rabies,Male,12,3,21,17,20,20,15,14531,,,,,,,,,,,,
,Female,3,3,4,5,15,8,6,45682,16621,105144,,,,,,,,,,
,Total,15,6,25,22,35,28,21,,8903,43048,,,,,,,,,,
13 - Malaria,Male,17,14,17,34,44,55,67,515,25524,148192,,,,,,,,,,
,Female,8,12,23,41,39,46,50,140,,,,,,,,,,,,
,Total,25,26,40,75,83,101,117,655,570,4151,,,,,,,,,,
14 - Cancer,Male,20,30,77,137,346,640,1099,,180,992,,,,,,,,,,
,Female,14,15,58,97,239,539,805,2581,750,5143,,,,,,,,,,
,Total,34,45,135,234,585,1179,1904,584,,,,,,,,,,,,
15 - Diabetes Melitus,Male,9,11,9,27,71,130,362,3165,1051,7776,,,,,,,,,,
,Female,2,5,12,33,29,86,224,14414,338,1626,,,,,,,,,,
,Total,11,16,21,60,100,216,586,17464,1389,9402,,,,,,,,,,
16 - Anaemia,Male,6,48,32,41,44,60,66,31878,3958,33377,,,,,,,,,,
,,,,,,86,,,9786,5605,39093,,,,,,,,,,
"TABLE D-10 2001 : DEATHS BY CAUSE OF DEATH, AGE AND SEX FOR MEDICALLY CERTIFIED OR NOT",,,,,,,,,10226,9563,72470,,,,,,,,,,
,,,,,Age of the Deceased,,,,20012,7380,34368,,,,,,,,,,
Cause of Death,Sex,,,,,,,,63784,7907,30910,,,,,,,,,,
,Below,70 &,,,,,,,52245,15287,65278,,,,,,,,,,
,1,Year,01-Apr,May-14,15-24,25-34,35-44,45-54,1,32694,209041,,,,,,,,,,
2,3,4,5,6,7,8,9,10,,26953,140726,,,,,,,,,,
,Female,11,44,32,38,74,51,55,,16029,59647,349767,,,,,,,,,
,Total,17,92,64,79,118,111,121,,,,,,,,,,,,,
17 - Meningitis,Male,138,67,46,69,80,69,62,,,,,,,,,,,,,
,Female,91,40,42,27,65,38,39,,,,,,,,,,,,,
,Total,229,107,88,96,145,107,101,55-64,,,,Total,,,,,,,,
18 - Heart Diseases & Heart Attacks,,,,,,,,,11,,,Age Not,,,,,,,,,
,Male,14,145,227,511,1534,3067,4502,6,65-69,Above,Stated,,,,,,,,,
,Female,8,79,160,537,719,956,1364,1,12,13,14,15,,,,,,,,
,Total,22,224,387,1048,2253,4023,5866,7,1,9,8,46,,,,,,,,
19 - Pneumonia,Male,71,55,38,43,72,120,141,,2,5,10,31,,,,,,,,
,Female,60,55,43,57,65,56,112,69,3,14,18,77,,,,,,,,
,Total,131,110,81,100,137,176,253,25,,,,,,,,,,,,
20 - Influenza,Male,0,7,4,3,11,28,60,94,43,153,33,611,,,,,,,,
,Female,0,6,4,4,9,13,18,23,19,89,43,326,,,,,,,,
,Total,0,13,8,7,20,41,78,5,62,242,76,937,,,,,,,,
21 - Bronchitis & AsthamaMale,,24,53,75,109,291,724,4240,28,6,37,33,192,,,,,,,,
,Female,38,59,50,86,185,324,2014,,2,3,14,69,,,,,,,,
,Total,62,112,125,195,476,1048,6254,85,8,40,47,261,,,,,,,,
22 - Jaundice,Male,43,72,105,164,366,372,463,64,,,,,,,,,,,,
,Female,20,49,62,93,114,141,98,149,34,137,99,1630,,,,,,,,
,Total,63,121,167,257,480,513,561,961,26,155,78,1418,,,,,,,,
23 - Chronic Lever Disease & Cirrhisi,,,,,,,,,338,60,292,177,3048,,,,,,,,
,Male,19,38,30,53,202,452,604,1299,495,798,1147,7484,,,,,,,,
,Female,14,28,19,56,69,97,131,23,163,415,662,3550,,,,,,,,
,Total,33,66,49,109,271,549,735,3,658,1213,1809,11034,,,,,,,,
24 - Ulcer of Stomach & Duodenum,,,,,,,,,26,11,21,7,105,,,,,,,,
,Male,19,11,18,56,122,182,209,0,2,5,10,35,,,,,,,,
,Female,9,3,18,55,63,71,88,0,13,26,17,140,,,,,,,,
,Total,28,14,36,111,185,253,297,0,0,0,1,24,,,,,,,,
25 - Appendicities,Male,5,2,8,27,40,79,69,0,0,0,1,9,,,,,,,,
,Female,4,2,14,40,44,30,39,0,0,0,2,33,,,,,,,,
,Total,9,4,22,67,84,109,108,0,0,0,40,45,,,,,,,,
26 - Syphilis & Other diseases of Genite Urinary System,,,,,,,,,21,0,0,31,38,,,,,,,,
,Male,9,35,34,70,83,123,195,15,0,0,71,83,,,,,,,,
,Female,5,21,18,61,59,50,93,36,17,15,11,183,,,,,,,,
,Total,14,56,52,131,142,173,288,0,4,12,12,139,,,,,,,,
27 - Abortions,Male,0,0,0,0,0,0,0,0,21,27,23,322,,,,,,,,
,Female,0,0,0,20,17,10,13,0,0,0,0,0,,,,,,,,
,Total,0,0,0,20,17,10,13,0,0,0,0,2,,,,,,,,
28 - Complications Related to Pregnancychild Birth,,,,,,,,,0,0,0,0,2,,,,,,,,
,Male,0,0,0,0,0,0,0,0,0,0,1,14,,,,,,,,
,Female,0,0,0,223,149,83,195,19,0,0,2,23,,,,,,,,
,Total,0,0,0,223,149,83,195,18,0,0,3,37,,,,,,,,
29 - Certain condition such as Birth-injuries,,,,,,,,,37,10,51,21,209,,,,,,,,
,Male,3810,0,0,0,0,0,0,46,1,34,18,115,,,,,,,,
,Female,2272,0,0,0,0,0,0,22,11,85,39,324,,,,,,,,
,Total,6082,0,0,0,0,0,0,68,28,48,37,407,,,,,,,,
30 - Ceribrovascular (Paralysis),,,,,,,,,1241,16,38,21,316,,,,,,,,
,Male,0,11,18,67,147,375,789,810,44,86,58,723,,,,,,,,
,Female,0,7,16,76,93,184,329,2051,702,1033,844,6169,,,,,,,,
,Total,0,18,34,143,240,559,1118,565,497,688,811,4573,,,,,,,,
31 - Senility,Male,0,0,0,0,0,0,0,356,1199,1721,1655,10742,,,,,,,,
,Female,0,0,0,0,0,0,0,921,588,809,207,2788,,,,,,,,
,,,,,,87,,,67,480,596,203,2026,,,,,,,,
"TABLE D-10 2001 : DEATHS BY CAUSE OF DEATH, AGE AND SEX FOR MEDICALLY CERTIFIED OR NOT",,,,,,,,,,1068,1405,410,4814,,,,,,,,
,,,,,Age of the Deceased,,,,,30,105,55,554,,,,,,,,
Cause of Death,Sex,,,,,,,,,,,,,,,,,,,,
,Below,,,,,,,,,,,,,,,,,,,,
,1,Year,01-Apr,May-14,15-24,25-34,35-44,45-54,,,,,,,,,,,,,
2,3,4,5,6,7,8,9,10,55-64,,,,Total,,,,,,,,
,Total,0,0,0,0,0,0,0,11,,,Age Not,,,,,,,,,
32 - Others not elsewhere classified,,,,,,,,,60,65-69,Above,Stated,,,,,,,,,
,Male,86,908,1282,1901,4045,5667,7170,127,12,13,14,15,,,,,,,,
,Female,201,862,1164,1513,2130,2646,3806,57,22,114,62,563,,,,,,,,
,Total,287,1770,2446,3414,6175,8313,10976,29,52,219,117,1117,,,,,,,,
33 - Bites or Stings of Venomous animal,,,,,,,,,86,31,72,57,748,,,,,,,,
,Male,7,25,113,115,94,109,97,,11,36,46,464,,,,,,,,
,Female,6,16,88,92,49,61,50,9986,42,108,103,1212,,,,,,,,
,Total,13,41,201,207,143,170,147,5389,,,,,,,,,,,,
34 - Accidental Burn,Male,15,29,32,144,241,184,137,15375,2181,4570,0,26737,,,,,,,,
,Female,12,40,75,670,623,345,137,132,1434,2911,2,13559,,,,,,,,
,Total,27,69,107,814,864,529,274,93,3615,7481,2,40296,,,,,,,,
35 - Falls & Drowning,Male,8,36,101,103,103,92,91,225,77,254,151,1154,,,,,,,,
,Female,7,16,45,81,41,35,26,87,84,187,195,1007,,,,,,,,
,Total,15,52,146,184,144,127,117,62,161,441,346,2161,,,,,,,,
